Beat Count,Instrument 1,Instrument 2,Section,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
56,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
57,Bass Drum,Hi-Hat (Open),,29
e,,,,
&,Hi-Hat (Open),,,
a,,,,
58,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
59,Bass Drum,Hi-Hat (Open),,30
e,,,,
&,Hi-Hat (Open),,,
a,,,,
60,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
61,Bass Drum,Hi-Hat (Open),,31
e,,,,
&,Hi-Hat (Open),,,
a,,,,
62,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
63,Bass Drum,Hi-Hat (Open),,32
e,,,,
&,Hi-Hat (Open),,,
a,,,,
64,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
65,Bass Drum,Hi-Hat (Open),,33
e,,,,
&,Hi-Hat (Open),,,
a,,,,
66,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
67,Bass Drum,Hi-Hat (Open),,34
e,,,,
&,Hi-Hat (Open),,,
a,,,,
68,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
69,Bass Drum,Hi-Hat (Open),,35
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
70,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
71,Snare Drum,Tom-tom,,36
e,,,,
&,Bass Drum,,,
a,,,,
72,Snare Drum,Tom-tom,,
e,,,,
&,Bass Drum,,,
a,,,,
73,Bass Drum,Ghost Note,,37
e,,,,
&,Ghost Note,,,
a,,,,
74,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
75,Bass Drum,Ghost Note,,38
e,,,,
&,Ghost Note,,,
a,,,,
76,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
77,Bass Drum,Ghost Note,,39
e,,,,
&,Ghost Note,,,
a,,,,
78,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
79,Bass Drum,Ghost Note,,40
e,,,,
&,Ghost Note,,,
a,,,,
80,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
81,Bass Drum,Ghost Note,,41
e,,,,
&,Ghost Note,,,
a,,,,
82,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
83,Bass Drum,Ghost Note,,42
e,,,,
&,Ghost Note,,,
a,,,,
84,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
85,Bass Drum,Ghost Note,,43
e,,,,
&,Ghost Note,,,
a,,,,
86,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
87,Bass Drum,Ghost Note,,44
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
88,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
89,Bass Drum,Ghost Note,,45
e,,,,
&,Ghost Note,,,
a,,,,
90,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
91,Bass Drum,Ghost Note,,46
e,,,,
&,Ghost Note,,,
a,,,,
92,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
93,Bass Drum,Ghost Note,,47
e,,,,
&,Ghost Note,,,
a,,,,
94,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
95,Bass Drum,Ghost Note,,48
e,,,,
&,Ghost Note,,,
a,,,,
96,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
97,Bass Drum,Ghost Note,,49
e,,,,
&,Ghost Note,,,
a,,,,
98,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
99,Bass Drum,Ghost Note,,50
e,,,,
&,Ghost Note,,,
a,,,,
100,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
101,Bass Drum,Ghost Note,,51
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
102,Ghost Note,,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
103,Snare Drum,Tom-tom,,52
e,,,,
&,Bass Drum,,,
a,,,,
104,Snare Drum,Tom-tom,,
e,,,,
&,Bass Drum,,,
a,,,,
105,Bass Drum,Tom-tom,,53
e,,,,
&,Hi-Hat (Open),,,
a,,,,
106,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
107,Hi-Hat (Open),,,54
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
108,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
109,Bass Drum,Tom-tom,,55
e,,,,
&,Hi-Hat (Open),,,
a,,,,
110,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
111,Hi-Hat (Open),,,56
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
112,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
113,Bass Drum,Tom-tom,,57
e,,,,
&,Hi-Hat (Open),,,
a,,,,
114,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
115,Bass Drum,Hi-Hat (Open),,58
e,,,,
&,Hi-Hat (Open),,,
a,,,,
116,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
117,Bass Drum,Hi-Hat (Open),,59
e,,,,
&,Hi-Hat (Open),,,
a,,,,
118,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
119,Bass Drum,Hi-Hat (Open),,60
e,,,,
&,Hi-Hat (Open),,,
a,,,,
120,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
121,Bass Drum,Hi-Hat (Open),,61
e,,,,
&,Hi-Hat (Open),,,
a,,,,
122,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
123,Bass Drum,Hi-Hat (Open),,62
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
124,Snare Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
125,Bass Drum,Tom-tom,,63
e,,,,
&,Hi-Hat (Open),,,
a,,,,
126,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
127,Bass Drum,Hi-Hat (Open),,64
e,,,,
&,Hi-Hat (Open),,,
a,,,,
128,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
129,Bass Drum,Hi-Hat (Open),,65
e,,,,
&,Hi-Hat (Open),,,
a,,,,
130,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
131,Bass Drum,Hi-Hat (Open),,66
e,,,,
&,Hi-Hat (Open),,,
a,,,,
132,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
133,Bass Drum,Hi-Hat (Open),,67
e,,,,
&,Hi-Hat (Open),,,
a,,,,
134,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
135,Bass Drum,Hi-Hat (Open),,68
e,,,,
&,Hi-Hat (Open),,,
a,,,,
136,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
137,Bass Drum,Hi-Hat (Open),,69
e,,,,
&,Hi-Hat (Open),,,
a,,,,
138,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
139,Bass Drum,Hi-Hat (Open),,70
e,,,,
&,Hi-Hat (Open),,,
a,,,,
140,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
141,Bass Drum,Hi-Hat (Open),,71
e,,,,
&,Hi-Hat (Open),,,
a,,,,
142,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
143,Bass Drum,Hi-Hat (Open),,72
e,,,,
&,Hi-Hat (Open),,,
a,,,,
144,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
145,Bass Drum,Hi-Hat (Open),,73
e,,,,
&,Hi-Hat (Open),,,
a,,,,
146,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
147,Bass Drum,Hi-Hat (Open),,74
e,,,,
&,Hi-Hat (Open),,,
a,,,,
148,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
149,Bass Drum,Hi-Hat (Open),,75
e,,,,
&,Hi-Hat (Open),,,
a,,,,
150,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
151,Bass Drum,Hi-Hat (Open),,76
e,,,,
&,Hi-Hat (Open),,,
a,,,,
152,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
153,Bass Drum,Hi-Hat (Open),,77
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
154,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
155,Snare Drum,Tom-tom,,78
e,,,,
&,Bass Drum,,,
a,,,,
156,Snare Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
157,Bass Drum,Ghost Note,,79
e,,,,
&,Ghost Note,,,
a,,,,
158,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
159,Bass Drum,Ghost Note,,80
e,,,,
&,Ghost Note,,,
a,,,,
160,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
161,Bass Drum,Ghost Note,,81
e,,,,
&,Ghost Note,,,
a,,,,
162,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
163,Bass Drum,Ghost Note,,82
e,,,,
&,Ghost Note,,,
a,,,,
164,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
165,Bass Drum,Ghost Note,,83
e,,,,
&,Ghost Note,,,
a,,,,
166,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
167,Bass Drum,Ghost Note,,84
e,,,,
&,Ghost Note,,,
a,,,,
168,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
169,Bass Drum,Ghost Note,,85
e,,,,
&,Ghost Note,,,
a,,,,
170,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
171,Bass Drum,Ghost Note,,86
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
172,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
173,Bass Drum,Ghost Note,,87
e,,,,
&,Ghost Note,,,
a,,,,
174,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
175,Bass Drum,Ghost Note,,88
e,,,,
&,Ghost Note,,,
a,,,,
176,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
177,Bass Drum,Ghost Note,,89
e,,,,
&,Ghost Note,,,
a,,,,
178,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
179,Bass Drum,Ghost Note,,90
e,,,,
&,Ghost Note,,,
a,,,,
180,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
181,Bass Drum,Ghost Note,,91
e,,,,
&,Ghost Note,,,
a,,,,
182,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
183,Bass Drum,Ghost Note,,92
e,,,,
&,Ghost Note,,,
a,,,,
184,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
185,Bass Drum,Ghost Note,,93
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
186,Ghost Note,,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
187,Snare Drum,Tom-tom,,94
e,,,,
&,Bass Drum,,,
a,,,,
188,Snare Drum,Tom-tom,,
e,,,,
&,Bass Drum,,,
a,,,,
189,Bass Drum,Tom-tom,,95
e,,,,
&,Hi-Hat (Open),,,
a,,,,
190,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
191,Hi-Hat (Open),,,96
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
192,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
193,Bass Drum,Tom-tom,,97
e,,,,
&,Hi-Hat (Open),,,
a,,,,
194,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
195,Hi-Hat (Open),,,98
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
196,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
197,Bass Drum,Tom-tom,,99
e,,,,
&,Hi-Hat (Open),,,
a,,,,
198,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
199,Bass Drum,Hi-Hat (Open),,100
e,,,,
&,Hi-Hat (Open),,,
a,,,,
200,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
201,Bass Drum,Hi-Hat (Open),,101
e,,,,
&,Hi-Hat (Open),,,
a,,,,
202,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
203,Bass Drum,Hi-Hat (Open),,102
e,,,,
&,Hi-Hat (Open),,,
a,,,,
204,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
205,Bass Drum,Hi-Hat (Open),,103
e,,,,
&,Hi-Hat (Open),,,
a,,,,
206,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
207,Bass Drum,Hi-Hat (Open),,104
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
208,Snare Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
209,Bass Drum,Tom-tom,,105
e,,,,
&,Hi-Hat (Open),,,
a,,,,
210,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
211,Bass Drum,Hi-Hat (Open),,106
e,,,,
&,Hi-Hat (Open),,,
a,,,,
212,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
213,Bass Drum,Hi-Hat (Open),,107
e,,,,
&,Hi-Hat (Open),,,
a,,,,
214,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
215,Bass Drum,Hi-Hat (Open),,108
e,,,,
&,Hi-Hat (Open),,,
a,,,,
216,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
217,Bass Drum,Hi-Hat (Open),,109
e,,,,
&,Hi-Hat (Open),,,
a,,,,
218,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
219,Bass Drum,Hi-Hat (Open),,110
e,,,,
&,Hi-Hat (Open),,,
a,,,,
220,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
221,Bass Drum,Hi-Hat (Open),,111
e,,,,
&,Hi-Hat (Open),,,
a,,,,
222,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
223,Bass Drum,Hi-Hat (Open),,112
e,,,,
&,Hi-Hat (Open),,,
a,,,,
224,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
225,Bass Drum,Hi-Hat (Open),,113
e,,,,
&,Hi-Hat (Open),,,
a,,,,
226,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
227,Bass Drum,Hi-Hat (Open),,114
e,,,,
&,Hi-Hat (Open),,,
a,,,,
228,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
229,Bass Drum,Hi-Hat (Open),,115
e,,,,
&,Hi-Hat (Open),,,
a,,,,
230,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
231,Bass Drum,Hi-Hat (Open),,116
e,,,,
&,Hi-Hat (Open),,,
a,,,,
232,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
233,Bass Drum,Hi-Hat (Open),,117
e,,,,
&,Hi-Hat (Open),,,
a,,,,
234,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
235,Bass Drum,Hi-Hat (Open),,118
e,,,,
&,Hi-Hat (Open),,,
a,,,,
236,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
237,Bass Drum,Hi-Hat (Open),,119
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
238,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
239,Snare Drum,Tom-tom,,120
e,,,,
&,Bass Drum,,,
a,,,,
240,Snare Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
241,Bass Drum,Tom-tom,,121
e,,,,
&,Hi-Hat (Open),,,
a,,,,
242,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
243,Hi-Hat (Open),,,122
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
244,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
245,Bass Drum,Tom-tom,,123
e,,,,
&,Hi-Hat (Open),,,
a,,,,
246,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
247,Hi-Hat (Open),,,124
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
248,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
249,Bass Drum,Tom-tom,,125
e,,,,
&,Hi-Hat (Open),,,
a,,,,
250,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
251,Bass Drum,Hi-Hat (Open),,126
e,,,,
&,Hi-Hat (Open),,,
a,,,,
252,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
253,Bass Drum,Hi-Hat (Open),,127
e,,,,
&,Hi-Hat (Open),,,
a,,,,
254,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
255,Bass Drum,Hi-Hat (Open),,128
e,,,,
&,Hi-Hat (Open),,,
a,,,,
256,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
257,Bass Drum,Tom-tom,,129
e,,,,
&,Hi-Hat (Open),,,
a,,,,
258,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
259,Hi-Hat (Open),,,130
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
260,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
261,Bass Drum,Tom-tom,,131
e,,,,
&,Hi-Hat (Open),,,
a,,,,
262,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
263,Hi-Hat (Open),,,132
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
264,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
265,Bass Drum,Tom-tom,,133
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
266,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
267,Tom-tom,Snare Drum,,134
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
268,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
269,Tom-tom,Snare Drum,,135
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
270,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
271,Tom-tom,Snare Drum,,136
e,,,,
&,Bass Drum,,,
a,,,,
272,Snare Drum,Snare Drum,,
e,,,,
&,,,,
a,,,,
273,Bass Drum,Tom-tom,,137
e,,,,
&,Hi-Hat (Open),,,
a,,,,
274,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
275,Hi-Hat (Open),,,138
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
276,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
277,Bass Drum,Tom-tom,,139
e,,,,
&,Hi-Hat (Open),,,
a,,,,
278,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
279,Hi-Hat (Open),,,140
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
280,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
281,Bass Drum,Tom-tom,,141
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
282,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
283,Tom-tom,Snare Drum,,142
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
284,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
285,Tom-tom,Snare Drum,,143
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
286,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
287,Tom-tom,Snare Drum,,144
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
288,Snare Drum,Snare Drum,,
e,,,,
&,,,,
a,,,,
289,Bass Drum,Tom-tom,,145
e,,,,
&,Hi-Hat (Open),,,
a,,,,
290,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
291,Hi-Hat (Open),,,146
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
